,titre,ingredients,url
0,Gâteau des abeilles de Litha,"2 œufs, 100 g de sucre, 150 g de farine, 1 sachet de levure, 1 pincée de sel, 5 c. à soupe de miel d’acacia, un peu de lait, un peu d’huile neutre, un peu de beurre, un peu de sucre glace",https://www.cuisine-libre.org/gateau-au-miel-de-litha
1,Gâteau irlandais de la Toussaint,"220 g de farine, 15 g de levure de boulanger, 5 cl de lait tiède, 50 g de beurre, 40 g de sucre brun, 1 œuf, 150 g de raisins secs de Corinthe et de Smyrne, 25 g d’écorces d’oranges confites, 1 pincée de cannelle, 1 pincée de muscade, 2 pincées de sel, un peu de beurre fondu",https://www.cuisine-libre.org/gateau-irlandais-de-la-toussaint
2,Gâteau de Pentecôte,"1 génoise, 350 g de crème semi-épaisse entière, 45 g de sucre glace, 15 fraises",https://www.cuisine-libre.org/gateau-de-pentecote
3,Gâteau au chocolat granuleux,"125 g de chocolat à pâtisserie noir, 120 g de farine blanche, 70 g de sucre (pas trop fin), 100 g de beurre, 1 demi sachet de levure chimique, 1 œuf, 1 bonne pincée de sel (si le beurre est doux)",https://www.cuisine-libre.org/gateau-au-chocolat-granuleux
4,Lammele,"4 œufs, 120 g de sucre, 120 g de farine, 20 g de fécule, 50 g de beurre, 1 gousse de vanille, sucre glace",https://www.cuisine-libre.org/lammele
5,Gâteau de St Phanourios (Fanouropita),"1 tasse de jus d’orange, 2 c. à soupe de beurre, ½ c. à café de sel, 2 tasses de raisins secs de Corinthe, ¾ de tasse de sucre, ½ tasse de miel, 1 c. à soupe de cannelle moulue, ½ c. à café de clous de girofle moulu, 2 tasses de farine, 2 c. à soupe de levure, ½ c. à café de bicarbonate de soude, 2 c. à soupe d’écorces d’orange râpées, graines de sésame",https://www.cuisine-libre.org/gateau-de-st-phanourios-fanouropita
6,Biscuits de la joie,"90 g de beurre, 70 g de sucre roux, 35 g de miel, 2 jaunes d’œufs, 250 g de farine de petit (ou grand) épeautre bio, 6 g de noix de muscade, 6 g de cannelle, 24 clous de girofle",https://www.cuisine-libre.org/biscuits-de-la-joie
7,Tartelettes aux myrtilles,"400 g de myrtilles fraîches voire surgelées ou encore en conserve, 250 g de farine, 125 g de beurre, 100 g de sucre, 1 œuf, 50 cl de lait, 3 œufs, 100 g de sucre, 50 g de farine, 1 cuillère à café de sucre vanillé",https://www.cuisine-libre.org/tartelettes-aux-myrtilles
8,Biscuits sablés,"250 g de farine, 125 g de beurre ramolli, 125 g de sucre fin, 1 œuf entier",https://www.cuisine-libre.org/biscuits-sables
9,Macarons d’Amiens,"200 g d’amandes douces, 200 g de sucre en poudre, 3 à 4 blancs d’œufs, 3 bonnes cuillerées de gelée de pommes ou d’abricots",https://www.cuisine-libre.org/macarons-d-amiens
